LOCATION CODE,REAL PROPERTY ASSET NAME,GSA REGION,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,BUILDING RENATABLE SQUARE FEET,CONSTRUCTION DATE,CONGRESSIONAL DISTRICT,CONGRESSIONAL DISTRICT REPRESENTATIVE NAME,BUILDING STATUS,REAL PROPERTY ASSET TYPE,,
CA8526,10000 Goethe Rd,9,10000 Goethe Rd,Sacramento,CA,95827,38.55244044,-121.3294277,0,2025,606,Ami Bera,Active,Building,,
GA2338,Thompson Bridge Rd Bldg,4,2565 Thompson Bridge Rd,Gainesville,GA,30501,34.33903,-83.848641,17844,2000,1309,Andrew Clyde,Active,Building,,
WI1771,345 West Washington Avenue,5,345 W Washington Ave,Madison,WI,53703,43.0714,-89.387941,10089,2000,5502,Mark Pocan,Active,Building,,
MN1743,1301 1/2 7Th St. Nw,5,1301 1/2 7Th St Nw,Rochester,MN,55901,44.0318491,-92.4815976,3041,2000,2701,Brad Finstad,Active,Building,,
MD1008,Woodlawn Office Complex,3,1718 Woodlawn Dr,Woodlawn,MD,21207,39.31476,-76.737771,160810,2000,2407,Kweisi Mfume,Active,Building,,
CO1890,466 Tucker Sreet,8,466 Tucker St,Craig,CO,81625,40.51362,-107.545,5000,2000,803,Lauren Boebert,Active,Building,,
CO1880,Horizon Court Building,8,744 Horizon Ct,Grand Junction,CO,81506,39.11318,-108.533,421,2000,803,Lauren Boebert,Active,Building,,
FL2207,The Cragg Building,4,3452 Lake Lynda Dr,Orlando,FL,32817,28.59947,-81.222241,22182,2000,1210,Maxwell Frost,Active,Building,,
AZ8543,1840 N. 95Th Ave,9,1840 North 95Th Avenue,Phoenix,AZ,85037,33.467202,-112.2655095,7194,2000,403,Ruben Gallego,Active,Building,,
FL0049,"U. S. Courthouse, Tallahassee, Fl",4,110 E Park Ave,Tallahassee,FL,32301,30.44252,-84.281351,40294.34,1937,1202,Neal Dunn,Active,Building,,
MD0823,Frc Building 1 Office,11,10903 New Hampshire Ave,Silver Spring,MD,20993,39.036501,-76.982792,87916.86,1945,2408,Jamie Raskin,Active,Building,,
CA0762,Federal Cntr Bldg 2A,9,620 Central Ave,Alameda,CA,94501,37.771563,-122.27904,8219.3,1942,612,Barbara Lee,Excess,Building,,
CA6971,1492 Oregon Avenue,9,1492 Oregon Ave,Long Beach,CA,90813,33.78556,-118.2007,10235,2000,642,Robert Garcia,Active,Building,,
IN1791,Purdue University Airport,5,1501 Aviation Dr,West Lafayette,IN,47907,40.416246,-86.9309955,720,2000,1804,James Baird,Active,Building,,
AZ7562,Congress Plaza,9,407 W Congress St,Tucson,AZ,85701,32.22075,-110.97751,52850,1983,407,Raul Grijalva,Active,Building,,
PA0517,Liberty Center Pittsburgh,3,1001 Liberty Ave,Pittsburgh,PA,15222,40.44427,-79.994561,20952,2000,4212,Summer Lee,Active,Building,,
UT1492,Greninger Hangar,8,1223 N Airport Rd,Cedar City,UT,84721,37.69924,-113.088,17229,2009,4902,Chris Stewart,Active,Building,,
FL2488,"Madrid Building, Pensacola, Fl",4,880 N Reus St,Pensacola,FL,32501,30.4212,-87.222181,9454,2000,1201,Matt Gaetz,Active,Building,,
MD1131,807 Woods Road,3,807 Woods Rd,Cambridge,MD,21613,38.55551,-76.059061,5278,2000,2401,Andy Harris,Active,Building,,
PA0769,833 Chestnut East,3,833 Chestnut St,Philadelphia,PA,19107,39.9499,-75.155071,22435,2000,4202,Brendan Boyle,Active,Building,,
AZ6779,1616 E Indian School,9,1616 E Indian School Rd,Phoenix,AZ,85016,33.49507,-112.04653,10795,2000,401,David Schweikert,Active,Building,,
PA0822,Milford Road Professional Buil,3,9090 Franklin Hill Rd,East Stroudsburg,PA,18301,41.03679,-75.136981,6921,2000,4208,Matt Cartwright,Active,Building,,
AZ0681,Naco Lpoe Main Bldg,9,3867 S Towner Ave,Naco,AZ,85620,31.33458,-109.94829,12881.24,1937,407,Raul Grijalva,Active,Building,,
TX0689,Usbs Gateway Brownsville Exit Booth,7,1500 E Elizabeth St,Brownsville,TX,78520,25.897967,-97.495253,37.6,1969,4834,Vicente Gonzalez,Active,Building,,
MO1972,4102 South Arizona Avenue,6,4102 Arizona Ave,Joplin,MO,64804,37.0437275,-94.483569,11926,2000,2907,Eric Burlison,Active,Building,,
FL1010,One Enterprise Tower,4,225 Water St,Jacksonville,FL,32202,30.3258151,-81.6615585,2313,2000,1204,Aaron Bean,Active,Building,,
TX0507,Usbs Del Rio Truck Pavilion,7,3140 Spur 239 International Bridge,Del Rio,TX,78840,29.334828,-100.91543,982.93,1999,4823,Tony Gonzales,Active,Building,,
NM0576,Usbs Santa Teresa Fmcsa Buildiing,7,170 Pete V Domenici Hwy,Placitas,NM,88008,31.785619,-106.68027,1886.51,2016,3502,Gabe Vasquez,Active,Building,,
OR6765,Seneca Building,10,874 Seneca Rd,Eugene,OR,97402,44.050581,-123.14121,3701,2000,4104,Val Hoyle,Active,Building,,
VA0440,Metro Place Ii,11,2600 Park Tower Dr,Vienna,VA,22180,38.8831,-77.225551,23919,2000,5111,Gerald Connolly,Active,Building,,
GA2473,Ncs Building,4,3750 Naturally Fresh Blvd,Atlanta,GA,30349,33.61128,-84.511141,11500,2000,1313,David Scott,Active,Building,,
WY1212,Mrw Storage Bldg,8,165 W 2Nd St,Lovell,WY,82431,44.84072,-108.397,4315,2000,5600,Harriet Hageman,Active,Building,,
TX2592,10824 North Central Expressway,7,10824 N Central Expy,Dallas,TX,75231,32.89545,-96.767981,27200,2000,4832,Colin Allred,Active,Building,,
LA1377,Flanders Building,7,5304 Flanders Dr,Baton Rouge,LA,70808,30.40052,-91.108561,9988,2000,2206,Garret Graves,Active,Building,,
VA0842,7943-59 Angus Court,11,7943 Angus Ct,Springfield,VA,22153,38.743722,-77.205695,54553,2000,5111,Gerald Connolly,Active,Building,,
CO0674,Dfc Bldg 52A,8,W 6Th Ave & Kipling St,Lakewood,CO,80215,39.7173909,-105.1192011,1373.83,2001,807,Brittany Pettersen,Active,Building,,
TX2544,Austin-Bergstrom Intl Airport,7,3600 Presidential Blvd,Austin,TX,78719,30.20256,-97.665431,6984,2000,4835,Greg Casar,Active,Building,,
KY3066,Summit Building,4,131 Summit Dr,Pikeville,KY,41501,37.476288,-82.515609,2721,2000,2105,Harold Rogers,Active,Building,,
MI2217,Customs And Border Protection,5,2600 Wills Drive,Marysville,MI,48040,42.88395,-82.48537,18000,2006,2609,Lisa McClain,Active,Building,,
CO0648,Dfc Bldg 10,8,W 6Th Ave & Kipling St,Lakewood,CO,80225,39.71933,-105.112,783.11,1980,807,Brittany Pettersen,Active,Building,,
